Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable
1	2021_10_08_5_DHFU	Standard	DHFU	Quantifiers	Group 1	5	0.426	805754.430835282	0.438266792368065	0.012266792368065	True	3.75769625843908		75.1539251687816		133	Fail	Pass	True
2	2021_10_08_5_DHFU_1	Standard	DHFU	Quantifiers	Group 1	5	0.426	829454.798783841	0.434504889022561	0.00850488902256064	True	4.03492329028722		80.6984658057443		133	Pass	Pass	True
3	2021_10_08_5_DHFU_2	Standard	DHFU	Quantifiers	Group 1	5	0.426	784142.401092549	0.430904198554891	0.00490419855489144	True	3.50495616728203		70.0991233456407		133	Fail	Pass	True
4	2021_10_08_10_DHFU	Standard	DHFU	Quantifiers	Group 1	10	0.426	1238094.32916419	0.445932797071805	0.0199327970718053	True	8.82559665270206		88.2559665270206		133	Pass	Pass	True
5	2021_10_08_10_DHFU_1	Standard	DHFU	Quantifiers	Group 1	10	0.426	1297282.44549798	0.431825042248921	0.00582504224892089	True	9.5211803931486		95.2118039314859		133	Pass	Pass	True
6	2021_10_08_10_DHFU_2	Standard	DHFU	Quantifiers	Group 1	10	0.426	1253653.36083531	0.436880306145647	0.0108803061456471	True	9.00840600289149		90.0840600289149		133	Pass	Pass	True
7	2021_10_08_20_DHFU	Standard	DHFU	Quantifiers	Group 1	20	0.426	2379282.36022135	0.438349345690846	0.0123493456908457	True	22.3136985351562		111.568492675781		133	Pass	Pass	True
8	2021_10_08_20_DHFU_1	Standard	DHFU	Quantifiers	Group 1	20	0.426	1575179.64880088	0.431982174083542	0.00598217408354157	True	12.7928261396999		63.9641306984996		133	Fail	Pass	True
9	2021_10_08_20_DHFU_2	Standard	DHFU	Quantifiers	Group 1	20	0.426	2406275.38997862	0.444521695371887	0.0185216953718871	True	22.6347221243175		113.173610621588		133	Pass	Pass	True
10	2021_10_08_39_DHFU	Standard	DHFU	Quantifiers	Group 1	39	0.426	4625925.43509707	0.443231740862098	0.0172317408620985	True	49.3580255013358		126.559039747015		133	Fail	Pass	True
11	2021_10_08_39_DHFU_1	Standard	DHFU	Quantifiers	Group 1	39	0.426	4265332.04775414	0.433543560434461	0.00754356043446136	True	44.9720378073089		115.312917454638		133	Fail	Pass	True
12	2021_10_08_39_DHFU_2	Standard	DHFU	Quantifiers	Group 1	39	0.426	3473387.39523203	0.411929876305656	0.0140701236943442	True	35.4009260762353		90.7716053236803		133	Pass	Pass	True
13	2021_10_08_78_DHFU	Standard	DHFU	Quantifiers	Group 1	78	0.426	9254900.18676261	0.438787623391622	0.0127876233916223	True	107.325707253571		137.597060581501		133	Fail	Pass	True
14	2021_10_08_78_DHFU_1	Standard	DHFU	Quantifiers	Group 1	78	0.426	8443042.38795401	0.441097234316359	0.0150972343163591	True	96.9244390122458		124.262101297751		133	Fail	Pass	True
15	2021_10_08_78_DHFU_2	Standard	DHFU	Quantifiers	Group 1	78	0.426	8967436.34161311	0.425687710984841	0.000312289015159117	True	103.63079237295		132.859990221731		133	Fail	Pass	True
16	2021_10_08_156_DHFU	Standard	DHFU	Quantifiers	Group 1	156	0.426	15461620.2172713	0.450816717159234	0.0248167171592339	True	190.630222254074		122.198860419278		133	Fail	Pass	True
17	2021_10_08_156_DHFU_1	Standard	DHFU	Quantifiers	Group 1	156	0.426	11995933.7080587	0.427241384657707	0.00124138465770673	True	143.250118149924		91.8269988140538		133	Pass	Pass	True
18	2021_10_08_156_DHFU_2	Standard	DHFU	Quantifiers	Group 1	156	0.426	14946324.022639	0.419935054104341	0.00606494589565904	True	183.435878122931		117.587101360853		133	Fail	Pass	True
19	2021_10_08_312_DHFU	Standard	DHFU	Quantifiers	Group 1	312	0.426	21745195.2288225	0.436538510098011	0.010538510098011	True	283.244348330161		90.7834449776156		133	Pass	Pass	True
20	2021_10_08_312_DHFU_1	Standard	DHFU	Quantifiers	Group 1	312	0.426	22111672.061489	0.439502570470675	0.0135025704706745	True	288.959432842584		92.6152028341616		133	Pass	Pass	True
21	2021_10_08_312_DHFU_2	Standard	DHFU	Quantifiers	Group 1	312	0.426	20922226.6465636	0.425839092814667	0.000160907185332515	True	270.548418278098		86.7142366275955		133	Pass	Pass	True
22	2021_10_08_625_DHFU_1	Standard	DHFU	Quantifiers	Group 1	625	0.426	33783672.0589794	0.427040199807002	0.00104019980700243	True	497.310656030146		79.5697049648234		133	Fail	Pass	True
23	2021_10_08_625_DHFU_2	Standard	DHFU	Quantifiers	Group 1	625	0.426	39573244.623672	0.429042407318207	0.00304240731820721	True	631.822468108226		101.091594897316		133	Pass	Pass	True
24	2021_10_08_625_DHFU	Standard	DHFU	Quantifiers	Group 1	625	0.426	35700057.6525103	0.424698300077704	0.00130169992229606	True	538.456138783817		86.1529822054107		133	Pass	Pass	True
25	2021_10_08_1250_DHFU	Standard	DHFU	Quantifiers	Group 1	1250	0.426	47227593.3035498	0.428808753291373	0.00280875329137292	True	911.611040304647		72.9288832243717		133	Fail	Pass	True
26	2021_10_08_1250_DHFU_1	Standard	DHFU	Quantifiers	Group 1	1250	0.426	50187025.0786342	0.429973458299467	0.00397345829946671	True	no root		N/A		133	Fail	Pass	True
